tag	english	spanish	RU	PT	DE	PL	CZ	TK	IT	FR
CONTROLLER_PRESS_SKILL	Skill	Habilidad	Навык	Habilidade	Fertigkeit	Umiejętność	Dovednost	Beceri	Abilità	
CONTROLLER_PRESS_NEXT_QUICKSLOT	Next Quickitem	Objeto Siguiente	Следующий предмет	Item Seguinte	Nächst. Objekt	Następny przedmiot	Další předmět	Sonraki Quickitem	Oggetto Succ.	
CONTROLLER_PRESS_PREV_QUICKSLOT	Prev. Quickitem	Objeto Anterior	Предыдущий предмет	Item Anterior	Vorher. Objekt	Poprzedni przedmiot	Předchozí předmět	Önceki.quickitem	Oggetto Prec.	
CONTROLLER_PRESS_USE_QUICKSLOT	Use Quick Item	Usar objeto	Использовать предмет	Usar Item	Objekt verwenden	Użyj przedmiotu	Použít předmět	Hızlı Öğe kullanın	Usa oggetto	
CONTROLLER_PRESS_RECOVERY	Recovery	Recuperación	Восстановление	Curar	Erholung	Odpoczynek	Obnovení	Kurtarma	Guarigione	
CRITICAL_NEGATED	Critical Negated!	Crítico Ignorado!	Крит. удар блокирован!	Crítico Negado	Krit. Treffer negiert!	Obrażenia krytyczne pominięte!	Kritikal vykryt!	Kritik Olumsuz!	Critico Ignorato!	
SHOW_CONTROLS	Show D-Pad and Attack buttons with controller present	Mostrar controles cuando hay mando externo	Отображать элементы управления с внешним контроллером	Mostrar D-Pad e botões de Ataque com controle presente	Schaltflächen bei externem Controller anzeigen	Pokaż D-Pad oraz przycisku ataku w obecności kontrolera	Ukaž D-Pad a tlačítko pro Útok na ovladači.	D-Pad ve Saldırı düğmelerini denetleyici ile birlikte gösterin	Mostra Icona D-Pad e pulsante 'attacco' con periferica presente.	
ATTACK_INTERACTS	Attack interacts with items when no enemies are close	Ataque activa objetos cuando no hay enemigos	Кнопка атаки взаимодействует с предметами, когда поблизости нет врагов	Ataque interage com items quando não tem inimigos perto	Ohne Gegner interagiert Angriffstaste mit Objekten	Wejdź w interakcję z obiektami (klawiszem ataku) gdy w pobliżu nie ma nieprzyjaciół	Útok interaguje s předměty, když nejsou poblíž žádní nepřátelé.	Hiçbir düşman olmadığında saldırı öğelerle etkileşime girer	Attacco' interagisce con oggetti quando non ci sono nemici vicini.	
ITEM_EMP	EMP	PEM	ЭМИ	PEM	EMP	EMP	EMP		EMP	
ITEM_RAD	Anti-Rad	Anti-Rad	Антирадар	Anti-Rad	Anti-Rad	Anty-Rad	Proti-Rad		Anti-Rad	
PROC_EMP	EMP	PEM	ЭМИ	PEM	EMP	EMP	EMP		EMP	
CAPTION_EMP	EMP Shock!	Descarga PEM!	ЭМ Разряд!	Descarga PEM!	EMP-Entladung!	Szok EMP!	EMP vypuštěn!		EMP Shock!	
AREAS	Areas	Áreas	Территории	Áreas	Gebiete	Obszary	Oblasti		Area	
MORE_INFO	More info	Más información	Больше информации	Mais Informação	Weitere Informationen	Więcej info	Více informací		Più informazioni	
ITEM_ARCANE	Arcane	Arcano	Волшебный	Arcano	Arkan	Tajemniczy	Arkánská		Arcano	
NOT_ENOUGH_MANA	Not Enough Mana	Maná Insuficiente	Недостаточно маны	Mana Insuficiente	Nicht genug Mana	Za mało many	Nedostatek Many		Mana Insufficiente	
CHOOSE_DESTINATION	Choose Destination	Elige Destino	Выберите пункт назначения	Escolher Destino	Ziel wählen	Wybierz miejsce docelowe	Zvol Destinaci		Scegli Destinazione	
NEW_GARAND	New Garand	New Garand	Нью-Гарант	Nova Garand	New Garand	Nowe Garand	New Garand		New Garand	
FREETOWN	Freetown	Freetown	Фритаун	Freetown	Freetown	Wolne Miasto	Freetown		Freetown	
NIVARIAN  	Nivarian	Nivarian	Нивариан	Nivarian	Nivarian	Nivarian	Nivarian		Nivarian	
ICEMIST  	Icemist	Icemist	Айсмист	Icemist	Icemist	Icemist	Icemist		Icemist	
LANNEGAR 	Lannegar	Lannegar	Ланнегар	Lannegar	Lannegar	Lannegar	Lannegar		Lannegar	
KINGSBRIDGE 	Kingsbridge	Kingsbridge	Кингсбридж	Kingsbridge	Kingsbridge	Królewski Most	Kingsbridge		Kingsbridge	
NEW_ANTHUR  	New Anthur	New Anthur	Нью-Антур	Nova Anthur	New Anthur	Nowe Anthur	New Anthur		New Anthur	
JABAL 	Jabal	Jabal	Джабал	Jabal	Jabal	Jabal	Jabal		Jabal	
SYDARUN 	Sydarun	Sydarun	Сидарун	Sydarun	Sydarun	Sydarun	Sydarun		Sydarun	
RHONEIS  	Rhöneis	Rhöneis	Рёнайс	Rhöneis	Rhöneis	Rhöneis	Rhöneis		Rhöneis	
FOGAS 	Fögas	Fögas	Фйогас	Fögas	Fögas	Fögas	Fögas		Fögas	
FRIGULD 	Friguld	Friguld	Фригулд	Friguld	Friguld	Friguld	Friguld		Friguld	
WHITETOWER	Whitetower	Whitetower	Уайттауэр	Whitetower	Whitetower	Białowieża	Whitetower		Whitetower	
TELEPORT	Teleport	Teleportación	Телепортация	Teleportação	Teleportation	Teleport	Teleportovat		Teletrasporto	
HELP_LICENSE	Help!	¡Ayuda!	Помогите!	Ajuda!	Hilfe!	Wsparcie!	Pomoc!	Yardım et!	Aiuto!	
LOOT	Loot	Botín	Добыча	Saque	Beute	Łup	Kořist	yağma	Bottino	
KEYBOARD_CONFIGURATION	Keyboard Setup	Configurar Teclado	Настройки клавиатуры	Configuração de Teclado	Tastatur konfigurieren	Konfiguracja Klawiatury	Nástavení Klávesnice		Configura Tastiera	
PRESS_KEY	Press a Key...	Pulsa una Tecla...	Нажмите кнопку...	Pressione uma Tecla...	Eine Taste drücken...	Naciśnij Klawisz...	Zmáčkni lávesu...		Premi un tasto...	
KEYBOARD_ATTACK	Attack	Atacar	Атака	Atacar	Angriff	Atak	Útoč		Attacco	
KEYBOARD_INTERACT	Interact	Interactuar	Действие	Interagir	Interagieren	Interakcja	Interaguj		Interagisci	
KEYBOARD_CHARACTER	Open Character Window	Abrir Hoja de Personaje	Открыть окно персонажа	Abrir Janela de Personagem	Charakterfenster öffnen	Otwórz Okno Postaci	Otevři Okni Hrdiny		Apri Schermata Giocatore	
KEYBOARD_COMPANION	Open Companion Window	Abrir Hoja de Compañero	Открыть окно спутника	Abrir Janela de Companheiro	Gefährtenfenster öffnen	Otwórz Okno Towarzysza	Otevři Okno Společníka		Apri Schermata Compagno	
KEYBOARD_MAP	Open Map	Abrir Mapa	Открыть карту	Abrir Mapa	Karte öffnen	Otwórz Mapę.	Otevři Mapu		Mappa	
SETTING_FULLSCREEN	Fullscreen Mode	Pantalla Completa	Полноэкранный режим	Tela Cheia	Vollbild-Modus	Tryb Pełnoekranowy	Mód Celé Obrazovky		Schermo Intero	
SKILL_SLOT_NONE	None	Ninguno	Нет	Nenhum	Nichts	Brak	Žádná		Nessuno	
IMPORT_EXPORT	Import & Export	Importar & Exportar	Импорт & Экспорт	Importar & Exportar	Import & Export	Import & Export	Import & Export		Importa & Esporta	
AREA	Area	Área	территория	Área	Gebiet	Obszar	Oblast		Area	
RESOLUTION	Resolution	Resolución	Pазрешение	Resolução	Auflösung	Rozdzielczość 	Rozlišení		Risoluzione	
INVENTORY	Inventory	Inventario	инвентарь	Inventário	Inventar	Inwentarz	Zásob	Envanter	Inventario	
COMPANION_ADVANCEMENT	Your companion has learned new skills!	¡Tu compañero ha aprendido nuevas habilidades!	Ваш компаньон узнал новые навыки!	Seu companheiro aprendeu novas habilidades!	Dein Begleiter hat neue Fähigkeiten gelernt!	Twój towarzysz nauczył się nowych umiejętności!	Váš společník se naučil nové dovednosti!	Arkadaşın yeni beceriler öğrenmiş!	Il tuo compagno ha imparato nuove abilità!	
LAMIS	Lamis	Lamis	Ламис	Lamis	Lamis		Lamis		Lamis	
PORT_MALAN	Port Malan	Port Malan	Порт Малан	Porto Malan	Port Malan		Port Malan		Port Malan	
LOG_INVULNERABLE	This enemy is invulnerable!	¡Este enemigo es invulnerable!	Этот противник неуязвим!	Este inimigo é invulnerável!	Dieser Feind ist unverwundbar!		Tento nepřítel je nezranitelný!		Questo nemico è invulnerabile!	
SOLLIGA	Solliga	Solliga	Соллига	Solliga	Solliga	Solliga	Solliga	Solliga	Solliga	
DL_STORY	Story	Historia	Сказка	História	Geschichte	Fabuła	Příběh	Hikaye	Storia	
LOWER_DIFFICULTY	Lower Difficulty	Bajar Dificultad	Уменьшить сложность	Reduza a dificuldade	Schwierigkeit reduzieren	Zmniejsz trudność	Snižte obtížnost	Zorluğu azaltın	Ridurre difficoltà	
RAISE_DIFFICULTY	Raise Difficulty	Subir Dificultad	Увеличить сложность	Aumentar dificuldade	Schwierigkeit erhöhen	Zwiększ trudność	Zvyšte obtížnost	Zorluğu artırın	Aumenta difficoltà	
LEARNED_BEAST_MASTERY	You learned the Beast Mastery Skill!	¡Has aprendido la Habilidad Maestría de Bestias!	Вы изучили навык «Мастерство зверей»!	Você aprendeu a habilidade Mestre das Feras!	Du hast die Fertigkeit Biestmeister erlernt!	Nauczyłeś się umiejętności Mistrz Zwierząt	Naučili jste se dovednost mistrovství zvířat!		Hai imparato l'abilità Maestria degli Animali!	
POOL	Pool	Estanque	Пруд	Poço	Becken	Sadzawka	Rybník		Stagno	
MOD_MENU_TITLE	Mod Menu	Menú de Mods	Меню модов	Menu de Mods	Mod-Menü	Menu modów	Menu modů	Mod Menüsü	Menu Mod	Menu Mod
MOD_MENU_INFINITE_MANA	Infinite Mana	Mana infinita	Бесконечная мана	Mana infinita	Unendliches Mana	Nieskończona mana	Nekonečná mana	Sonsuz mana	Mana infinita	Mana infinie
MOD_MENU_FAST_COOLDOWN	Fast Cooldown	Enfriamiento rápido	Быстрый откат	Recarga rápida	Schnelle Abklingzeit	Szybkie odnowienie	Rychlé obnovení	Hızlı bekleme süresi	Ricarica rapida	Recharge rapide
MOD_MENU_XP_X3	XP x3	XP x3	XP x3	XP x3	XP x3	XP x3	XP x3	XP x3	XP x3	XP x3
MOD_MENU_INFINITE_GOLD	Infinite Coins	Monedas infinitas	Бесконечные монеты	Moedas infinitas	Unendliche Münzen	Nieskończone monety	Nekonečné mince	Sonsuz para	Monete infinite	Pièces infinies
MOD_MENU_PLUS1_SPAP	+1 SP/AP	+1 SP/AP	+1 SP/AP	+1 SP/AP	+1 SP/AP	+1 SP/AP	+1 SP/AP	+1 SP/AP	+1 SP/AP	+1 SP/AP
MOD_MENU_NO_DAMAGE	No Damage	Sin daño	Без урона	Não receber dano	Kein Schaden	Brak obrażeń	Bez zranění	Hasar alma	Nessun danno	Aucun dégât
MOD_MENU_TELEPORT	Teleport To...	Teleportar a...	Телепорт в...	Teleportar Para...	Teleportieren zu...	Teleportuj do...	Teleportovat do...	Işınlan...	Teletrasporto a...	Téléporter à...
MOD_MENU_CLOSE	Close	Cerrar	Закрыть	Fechar	Schließen	Zamknij	Zavřít	Kapat	Chiudi	Fermer
MOD_MENU_STATE_ON	ON	ON	ВКЛ	LIGADO	AN	WŁ	ZAP	AÇIK	ON	ACTIVÉ
MOD_MENU_STATE_OFF	OFF	OFF	ВЫКЛ	DESLIGADO	AUS	WYŁ	VYP	KAPALI	OFF	DÉSACTIVÉ
MOD_MENU_ENABLE_PLUS1_SPAP_HINT	Enable +1 SP/AP in the Mod Menu.	Activa +1 SP/AP en el Menú de Mods.	Включите +1 SP/AP в меню модов.	Ative +1 SP/AP no Menu de Mods.	Aktiviere +1 SP/AP im Mod-Menü.	Włącz +1 SP/AP w menu modów.	Zapněte +1 SP/AP v menu modů.	Mod Menüsü'nde +1 SP/AP etkinleştirin.	Attiva +1 SP/AP nel Menu Mod.	Activez +1 SP/AP dans le Menu Mod.
LAN_CHAT_TITLE	Chat LAN	Chat LAN	Чат LAN	Chat LAN	LAN-Chat	Chat LAN	LAN Chat	LAN Sohbeti	Chat LAN	Chat LAN
LAN_CHAT_HINT	Type a message	Escribe un mensaje	Напишите сообщение	Digite uma mensagem	Nachricht eingeben	Wpisz wiadomosc	Napiste zpravu	Mesaj yazin	Scrivi un messaggio	Ecrivez un message
LAN_CHAT_SEND	Send	Enviar	Отправить	Enviar	Senden	Wyslij	Odeslat	Gonder	Invia	Envoyer
LAN_CHAT_REFRESH	Refresh	Actualizar	Обновить	Atualizar	Aktualisieren	Odswierz	Obnovit	Yenile	Aggiorna	Actualiser
LAN_CHAT_CLOSE	Close	Cerrar	Закрыть	Fechar	Schliessen	Zamknij	Zavrit	Kapat	Chiudi	Fermer
LAN_CHAT_LOCATION	Location	Ubicacion	Местоположение	Localizacao	Position	Lokalizacja	Poloha	Konum	Posizione	Localisation
